trajectory_id,label,scenario,split
SCTD-0187,1,large_route_deviation,train
SCTD-0188,1,large_route_deviation,test
SCTD-0189,1,large_route_deviation,test
SCTD-0190,1,large_route_deviation,test
SCTD-0191,1,excessive_idle_duration,test
SCTD-0192,1,excessive_idle_duration,train
SCTD-0193,1,excessive_idle_duration,test
SCTD-0194,1,excessive_idle_duration,train
SCTD-0195,1,excessive_idle_duration,validation
SCTD-0196,1,excessive_idle_duration,train
SCTD-0197,1,excessive_idle_duration,test
SCTD-0198,1,excessive_idle_duration,validation
SCTD-0199,1,excessive_idle_duration,train
SCTD-0200,1,excessive_idle_duration,validation
SCTD-0201,1,excessive_idle_duration,test
SCTD-0202,1,excessive_idle_duration,train
SCTD-0203,1,excessive_idle_duration,test
SCTD-0204,1,excessive_idle_duration,test
SCTD-0205,1,excessive_idle_duration,train
SCTD-0206,1,excessive_idle_duration,test
SCTD-0207,1,excessive_idle_duration,train
SCTD-0208,1,excessive_idle_duration,train
SCTD-0209,1,excessive_idle_duration,train
SCTD-0210,1,excessive_idle_duration,train
SCTD-0211,1,fare_distance_inconsistency,train
SCTD-0212,1,fare_distance_inconsistency,validation
SCTD-0213,1,fare_distance_inconsistency,train
SCTD-0214,1,fare_distance_inconsistency,train
SCTD-0215,1,fare_distance_inconsistency,train
SCTD-0216,1,fare_distance_inconsistency,train
SCTD-0217,1,fare_distance_inconsistency,test
SCTD-0218,1,fare_distance_inconsistency,train
SCTD-0219,1,fare_distance_inconsistency,train
SCTD-0220,1,fare_distance_inconsistency,train
SCTD-0221,1,fare_distance_inconsistency,train
SCTD-0222,1,fare_distance_inconsistency,validation
SCTD-0223,1,fare_distance_inconsistency,train
SCTD-0224,1,fare_distance_inconsistency,test
SCTD-0225,1,fare_distance_inconsistency,train
SCTD-0226,1,fare_distance_inconsistency,validation
SCTD-0227,1,fare_distance_inconsistency,test
SCTD-0228,1,fare_distance_inconsistency,train
SCTD-0229,1,fare_distance_inconsistency,test
SCTD-0230,1,fare_distance_inconsistency,train
SCTD-0231,1,large_itinerary_deviation,test
SCTD-0232,1,large_itinerary_deviation,test
SCTD-0233,1,large_itinerary_deviation,train
SCTD-0234,1,large_itinerary_deviation,test
SCTD-0235,1,large_itinerary_deviation,validation
SCTD-0236,1,large_itinerary_deviation,train
SCTD-0237,1,large_itinerary_deviation,train
SCTD-0238,1,large_itinerary_deviation,test
SCTD-0239,1,large_itinerary_deviation,test
SCTD-0240,1,large_itinerary_deviation,test
SCTD-0241,1,large_itinerary_deviation,train
SCTD-0242,1,large_itinerary_deviation,validation
SCTD-0243,1,large_itinerary_deviation,train
SCTD-0244,1,large_itinerary_deviation,train
SCTD-0245,1,large_itinerary_deviation,validation
SCTD-0246,1,large_itinerary_deviation,train
SCTD-0247,1,large_itinerary_deviation,train
SCTD-0248,1,large_itinerary_deviation,test
SCTD-0249,1,large_itinerary_deviation,train
SCTD-0250,1,large_itinerary_deviation,test
SCTD-0251,1,transport_mode_mismatch,test
SCTD-0252,1,transport_mode_mismatch,test
SCTD-0253,1,transport_mode_mismatch,test
SCTD-0254,1,transport_mode_mismatch,train
SCTD-0255,1,transport_mode_mismatch,train
SCTD-0256,1,transport_mode_mismatch,validation
SCTD-0257,1,transport_mode_mismatch,test
SCTD-0258,1,transport_mode_mismatch,validation
SCTD-0259,1,transport_mode_mismatch,train
SCTD-0260,1,transport_mode_mismatch,test
SCTD-0261,1,transport_mode_mismatch,test
SCTD-0262,1,transport_mode_mismatch,train
SCTD-0263,1,transport_mode_mismatch,train
SCTD-0264,1,transport_mode_mismatch,train
SCTD-0265,1,transport_mode_mismatch,train
SCTD-0266,1,transport_mode_mismatch,test
SCTD-0267,1,transport_mode_mismatch,train
SCTD-0268,1,transport_mode_mismatch,train
SCTD-0269,1,transport_mode_mismatch,train
SCTD-0270,1,transport_mode_mismatch,train
SCTD-0271,1,significant_schedule_delay,validation
SCTD-0272,1,significant_schedule_delay,train
SCTD-0273,1,significant_schedule_delay,test
SCTD-0274,1,significant_schedule_delay,train
SCTD-0275,1,significant_schedule_delay,validation
SCTD-0276,1,significant_schedule_delay,validation
SCTD-0277,1,significant_schedule_delay,test
SCTD-0278,1,significant_schedule_delay,validation
SCTD-0279,1,significant_schedule_delay,train
SCTD-0280,1,significant_schedule_delay,train
SCTD-0281,1,significant_schedule_delay,test
SCTD-0282,1,significant_schedule_delay,train
SCTD-0283,1,significant_schedule_delay,test
SCTD-0284,1,significant_schedule_delay,train
SCTD-0285,1,significant_schedule_delay,test
SCTD-0286,1,significant_schedule_delay,test
SCTD-0287,1,significant_schedule_delay,train
SCTD-0288,1,significant_schedule_delay,test
SCTD-0289,1,significant_schedule_delay,test
SCTD-0290,1,significant_schedule_delay,train
