trajectory_id,split
SCTD-0125,train
SCTD-0127,train
SCTD-0170,train
SCTD-0121,train
SCTD-0272,train
SCTD-0026,train
SCTD-0123,train
SCTD-0039,train
SCTD-0096,train
SCTD-0134,train
SCTD-0198,train
SCTD-0222,train
SCTD-0013,train
SCTD-0182,train
SCTD-0043,train
SCTD-0284,train
SCTD-0101,train
SCTD-0280,train
SCTD-0216,train
SCTD-0028,train
SCTD-0094,train
SCTD-0223,train
SCTD-0145,train
SCTD-0031,train
SCTD-0228,train
SCTD-0192,train
SCTD-0075,train
SCTD-0111,train
SCTD-0055,train
SCTD-0029,train
SCTD-0038,train
SCTD-0276,train
SCTD-0002,train
SCTD-0186,train
SCTD-0041,train
SCTD-0241,train
SCTD-0209,train
SCTD-0264,train
SCTD-0040,train
SCTD-0142,train
SCTD-0140,train
SCTD-0070,test
SCTD-0257,test
SCTD-0189,test
SCTD-0020,test
SCTD-0135,test
SCTD-0250,test
SCTD-0188,test
SCTD-0052,test
SCTD-0266,test
SCTD-0224,test
SCTD-0110,test
SCTD-0240,test
SCTD-0238,test
SCTD-0132,test
SCTD-0129,test
SCTD-0283,test
SCTD-0009,test
SCTD-0122,test
SCTD-0232,test
SCTD-0060,test
SCTD-0168,test
SCTD-0112,test
SCTD-0289,test
SCTD-0193,test
SCTD-0025,test
SCTD-0095,test
SCTD-0191,test
SCTD-0277,test
SCTD-0273,test
SCTD-0150,test
SCTD-0120,test
SCTD-0217,test
SCTD-0161,test
SCTD-0064,test
SCTD-0248,test
SCTD-0093,test
SCTD-0172,test
SCTD-0286,test
SCTD-0176,test
SCTD-0203,test
SCTD-0204,test
SCTD-0019,test
SCTD-0156,test
SCTD-0035,test
SCTD-0001,test
SCTD-0116,test
SCTD-0239,test
SCTD-0253,test
SCTD-0206,test
SCTD-0190,test
SCTD-0251,test
SCTD-0054,test
SCTD-0089,test
SCTD-0260,test
SCTD-0097,test
SCTD-0102,test
SCTD-0063,test
SCTD-0234,test
SCTD-0022,test
SCTD-0051,test
SCTD-0117,test
SCTD-0157,test
SCTD-0201,test
SCTD-0024,test
SCTD-0083,test
SCTD-0154,test
SCTD-0252,test
SCTD-0088,test
SCTD-0281,test
SCTD-0003,test
SCTD-0131,test
SCTD-0109,test
SCTD-0014,test
SCTD-0071,test
SCTD-0288,test
SCTD-0261,test
SCTD-0062,test
SCTD-0227,test
SCTD-0034,test
SCTD-0229,test
SCTD-0197,test
SCTD-0184,test
SCTD-0065,test
SCTD-0231,test
SCTD-0005,test
SCTD-0027,test
SCTD-0285,test
